date,open,high,low,close,volume
2017-01-03,80.55,80.84,80.5,80.8,3312581
2017-01-04,80.84,80.8801,80.75,80.86,3095025
2017-01-05,80.98,81.28,80.9,81.27,3890365
2017-01-06,81.1,81.13,80.95,80.95,2287987
2017-01-09,81.17,81.18,81.09,81.15,1785910
2017-01-10,81.14,81.18,81.06,81.13,2250692
2017-01-11,81.14,81.43,81.06,81.17,2327647
2017-01-12,81.37,81.42,81.15,81.19,2981241
2017-01-13,81.12,81.15,80.9135,81.06,2424983
2017-01-17,81.34,81.4,81.21,81.31,2188598
2017-01-18,81.21,81.21,80.875,80.89,1981696
2017-01-19,80.78,80.84,80.64,80.75,2121301
2017-01-20,80.67,80.85,80.62,80.81,1836282
2017-01-23,80.82,81.19,80.82,81.03,1490164
2017-01-24,80.97,81.05,80.8165,80.91,2136042
2017-01-25,80.74,80.7865,80.62,80.67,1897825
2017-01-26,80.62,80.73,80.52,80.7,2381630
2017-01-27,80.74,80.84,80.74,80.79,1768665
2017-01-30,80.78,80.885,80.75,80.77,2699524
2017-01-31,80.8,81.02,80.8,80.94,2857626
2017-02-01,80.56,80.745,80.5,80.63,2313445
2017-02-02,80.79,80.85,80.67,80.68,1745432
2017-02-03,80.86,80.94,80.61,80.7,2398917
2017-02-06,80.96,81.01,80.8,80.95,3238073
2017-02-07,80.96,81.15,80.9,81.08,5239327
2017-02-08,81.17,81.35,81.16,81.3,2172725
2017-02-09,81.14,81.22,81.03,81.08,3410760
2017-02-10,80.95,81.089,80.94,81.06,2011917
2017-02-13,80.98,81.01,80.8801,80.97,1863017
2017-02-14,80.94,80.97,80.66,80.8,2178328
2017-02-15,80.61,80.72,80.6,80.67,1503728
2017-02-16,80.74,80.94,80.73,80.82,3290696
2017-02-17,81.0,81.05,80.96,81.01,1520021
2017-02-21,80.94,81.08,80.9,81.0,1811284
2017-02-22,81.17,81.17,80.88,81.05,1965822
2017-02-23,81.17,81.2,81.13,81.2,1590520
2017-02-24,81.36,81.52,81.32,81.5,1703834
2017-02-27,81.46,81.465,81.29,81.33,2005647
2017-02-28,81.33,81.405,81.26,81.27,1975726
2017-03-01,80.78,80.81,80.71,80.78,2954358
2017-03-02,80.71,80.715,80.54,80.63,2077305
2017-03-03,80.64,80.69,80.53,80.69,2242758
2017-03-06,80.72,80.72,80.57,80.64,1880936
2017-03-07,80.6,80.63,80.49,80.49,1644855
2017-03-08,80.24,80.35,80.21,80.3,2173044
2017-03-09,80.16,80.18,80.02,80.05,2761256
2017-03-10,80.14,80.23,80.1,80.21,3430937
2017-03-13,80.12,80.21,80.03,80.05,2164621
2017-03-14,80.03,80.14,80.02,80.04,3620704
2017-03-15,80.16,80.55,80.13,80.54,2281368
2017-03-16,80.48,80.53,80.41,80.42,2617769
2017-03-17,80.47,80.61,80.47,80.58,1292991
2017-03-20,80.59,80.75,80.57,80.744,1510931
2017-03-21,80.7,80.93,80.66,80.93,2078954
2017-03-22,81.0,81.107,80.9532,81.04,1339572
2017-03-23,81.07,81.1,80.8934,81.0,1790362
2017-03-24,80.94,81.07,80.93,80.98,3736682
2017-03-27,81.2,81.22,81.09,81.15,1870514
2017-03-28,81.23,81.23,80.96,81.0,1990824
2017-03-29,81.05,81.16,81.025,81.16,1356818
2017-03-30,81.1,81.11,80.97,81.03,1403541
2017-03-31,81.01,81.1,81.01,81.08,2399459
2017-04-03,80.97,81.2,80.91,81.2,2142715
2017-04-04,81.18,81.18,81.08,81.11,1983228
2017-04-05,81.07,81.24,81.015,81.18,2050810
2017-04-06,81.18,81.23,81.0601,81.21,1855272
2017-04-07,81.3,81.36,81.01,81.03,1608178
2017-04-10,81.12,81.19,81.07,81.11,1481751
2017-04-11,81.24,81.41,81.23,81.37,1340521
2017-04-12,81.36,81.56,81.3312,81.56,1801558
2017-04-13,81.61,81.729,81.52,81.68,1393521
2017-04-17,81.69,81.73,81.54,81.63,1494596
2017-04-18,81.72,81.9666,81.718,81.92,1783017
2017-04-19,81.83,81.83,81.7201,81.77,1437089
2017-04-20,81.74,81.74,81.5834,81.66,1425716
2017-04-21,81.73,81.79,81.655,81.68,1241682
2017-04-24,81.48,81.59,81.43,81.57,2665681
2017-04-25,81.41,81.4571,81.27,81.32,1670922
2017-04-26,81.29,81.42,81.26,81.4,1876229
2017-04-27,81.42,81.525,81.3746,81.46,1543129
2017-04-28,81.4,81.59,81.36,81.55,2100002
2017-05-01,81.34,81.4087,81.14,81.23,1478157
2017-05-02,81.24,81.38,81.2,81.37,1664291
2017-05-03,81.4,81.45,81.215,81.28,2948426
2017-05-04,81.14,81.2,81.09,81.19,1216082
2017-05-05,81.2,81.24,81.1047,81.24,1658920
2017-05-08,81.19,81.21,81.06,81.1,1832262
2017-05-09,81.05,81.1,81.0,81.06,2532184
2017-05-10,81.14,81.2,81.01,81.05,1845536
2017-05-11,81.0,81.11,80.93,81.11,1421523
2017-05-12,81.29,81.38,81.25,81.35,1510314
2017-05-15,81.3,81.39,81.3,81.33,1823465
2017-05-16,81.36,81.51,81.36,81.41,1760573
2017-05-17,81.63,81.87,81.63,81.85,1987109
2017-05-18,81.87,81.892,81.74,81.78,1881841
2017-05-19,81.81,81.8343,81.7,81.83,1394681
2017-05-22,81.8,81.8,81.74,81.76,1570719
2017-05-23,81.84,81.84,81.58,81.59,1679534
2017-05-24,81.63,81.77,81.58,81.76,1568743
2017-05-25,81.77,81.7897,81.6865,81.76,1108371
2017-05-26,81.77,81.81,81.73,81.8,952666
2017-05-30,81.87,81.92,81.82,81.92,1283326
2017-05-31,81.92,82.01,81.9,81.96,2290054
2017-06-01,81.71,81.82,81.69,81.81,1710895
2017-06-02,81.99,82.11,81.97,82.08,1795159
2017-06-05,81.98,82.01,81.93,81.95,1916218
2017-06-06,82.11,82.15,82.05,82.1,3262507
2017-06-07,82.08,82.1,81.97,81.99,1743506
2017-06-08,81.97,81.97,81.8132,81.93,1828154
2017-06-09,81.8,81.91,81.77,81.86,1404519
2017-06-12,81.79,81.95,81.7707,81.84,2053929
2017-06-13,81.81,81.89,81.79,81.86,1515102
2017-06-14,82.21,82.33,82.08,82.16,2472954
2017-06-15,82.13,82.13,82.03,82.07,2063366
2017-06-16,82.08,82.17,82.07,82.16,1376407
2017-06-19,82.1,82.14,82.005,82.04,1776848
2017-06-20,82.11,82.21,82.08,82.16,1864185
2017-06-21,82.15,82.2299,82.1,82.2,1249605
2017-06-22,82.24,82.27,82.16,82.23,1195139
2017-06-23,82.23,82.28,82.19,82.25,1356064
2017-06-26,82.35,82.39,82.31,82.34,4665527
2017-06-27,82.19,82.19,82.04,82.06,2374151
2017-06-28,82.08,82.1,81.95,82.06,1604350
2017-06-29,81.84,81.97,81.785,81.89,1548282
2017-06-30,81.87,81.8999,81.76,81.83,1978238
2017-07-03,81.66,81.67,81.4302,81.5,1092526
2017-07-05,81.49,81.579,81.45,81.55,1917073
2017-07-06,81.41,81.43,81.3,81.36,1827517
2017-07-07,81.36,81.39,81.31,81.34,2441603
