date,open,high,low,close,volume
2017-01-03,41.67,41.72,41.0,41.0,52714
2017-01-04,40.71,40.71,39.7563,39.9,20773
2017-01-05,39.94,40.43,39.9,40.02,22575
2017-01-06,39.58,39.72,39.23,39.5999,13926
2017-01-09,39.41,39.575,39.0,39.4,28419
2017-01-10,39.2,39.68,39.1101,39.27,7746
2017-01-11,39.21,39.79,39.01,39.05,12839
2017-01-12,39.18,39.91,39.18,39.28,40409
2017-01-13,39.33,39.73,39.28,39.68,14679
2017-01-17,40.05,40.21,39.9504,39.99,25338
2017-01-18,39.9,39.9,39.4,39.54,13421
2017-01-19,39.4605,39.84,39.43,39.43,73741
2017-01-20,39.29,39.29,38.58,38.68,27708
2017-01-23,38.73,39.1,38.66,38.67,28157
2017-01-24,38.28,38.2842,37.24,37.34,34812
2017-01-25,36.85,36.88,36.67,36.74,80196
2017-01-26,36.7981,36.9766,36.7174,36.94,7815
2017-01-27,36.98,37.1427,36.9281,37.03,39752
2017-01-30,37.38,38.0314,37.16,37.27,15792
2017-01-31,37.49,37.49,37.06,37.06,7384
2017-02-01,36.68,36.79,36.341,36.5,10353
2017-02-02,36.67,36.86,36.48,36.72,50132
2017-02-03,36.3662,36.45,36.271,36.45,31104
2017-02-06,36.5,36.52,36.31,36.48,16159
2017-02-07,36.51,36.61,36.3678,36.56,10816
2017-02-08,36.7283,37.0001,36.7283,36.77,22963
2017-02-09,36.8175,36.8175,36.4085,36.46,6089
2017-02-10,36.43,36.44,36.26,36.41,5873
2017-02-13,36.34,36.35,36.03,36.03,16709
2017-02-14,35.75,35.79,35.04,35.04,29813
2017-02-15,34.55,34.85,34.06,34.35,45903
2017-02-16,34.34,35.23,34.34,34.57,19038
2017-02-17,34.8494,34.86,34.5,34.5406,15821
2017-02-21,34.51,34.86,34.32,34.78,9599
2017-02-22,35.09,35.365,34.95,35.1298,27253
2017-02-23,35.24,35.95,35.24,35.86,28042
2017-02-24,36.8,36.8,36.08,36.18,23226
2017-02-27,35.98,35.98,35.32,35.5,10360
2017-02-28,35.53,35.94,35.39,35.53,29165
2017-03-01,34.9101,35.37,34.9101,35.37,16364
2017-03-02,35.57,35.71,35.39,35.71,26403
2017-03-03,35.29,35.38,35.05,35.09,80051
2017-03-06,35.0319,35.15,34.77,34.79,6515
2017-03-07,34.89,34.9,34.56,34.86,8150
2017-03-08,34.61,34.88,34.34,34.8522,22285
2017-03-09,34.85,35.02,34.53,34.71,12660
2017-03-10,34.51,34.65,34.441,34.49,16777
2017-03-13,34.58,34.59,34.3,34.42,131561
2017-03-14,34.58,34.72,34.3522,34.61,15712
2017-03-15,34.51,34.51,34.2013,34.25,8709
2017-03-16,33.998,34.07,33.64,33.6739,14721
2017-03-17,33.52,33.52,33.259,33.4,9097
2017-03-20,33.31,33.46,33.2,33.3356,10757
2017-03-21,33.05,33.93,33.03,33.89,49980
2017-03-22,33.91,34.15,33.74,33.87,29619
2017-03-23,33.97,34.34,33.56,34.2,130196
2017-03-24,34.15,34.48,33.7,33.85,19712
2017-03-27,34.23,34.23,32.96,33.06,25834
2017-03-28,32.8443,32.94,32.41,32.46,61668
2017-03-29,32.21,32.27,32.0,32.07,13021
2017-03-30,31.96,32.05,31.89,31.95,3275
2017-03-31,31.93,31.9573,31.77,31.95,4998
2017-04-03,31.8729,32.15,31.83,32.0016,41820
2017-04-04,32.03,32.14,31.56,31.63,75230
2017-04-05,31.31,31.96,31.125,31.96,20216
2017-04-06,31.904,31.904,31.42,31.69,42167
2017-04-07,31.75,32.06,31.64,32.03,6793
2017-04-10,32.11,32.45,31.98,32.45,3782
2017-04-11,32.9,33.06,32.6011,32.8,12567
2017-04-12,32.77,32.9,32.3219,32.44,29398
2017-04-13,32.39,32.74,32.15,32.74,19768
2017-04-17,32.65,32.65,31.9,31.9,6255
2017-04-18,32.06,32.15,31.76,31.93,14230
2017-04-19,31.52,32.3,31.52,31.98,18874
2017-04-20,31.5576,31.57,31.49,31.57,8491
2017-04-21,31.7,31.86,31.35,31.42,14894
2017-04-24,30.64,30.7139,30.54,30.67,39548
2017-04-25,30.24,30.25,29.9,29.9802,43068
2017-04-26,29.98,30.18,29.96,30.18,10229
2017-04-27,30.05,30.21,30.0363,30.1001,3739
2017-04-28,30.3,30.37,30.02,30.02,14986
2017-05-01,29.87,29.87,29.248,29.248,15323
2017-05-02,29.32,29.5192,29.32,29.48,37270
2017-05-03,29.42,29.69,29.38,29.65,31084
2017-05-04,29.55,29.7612,29.53,29.62,4566
2017-05-05,29.27,29.6524,29.25,29.65,17298
2017-05-08,29.67,29.93,29.6056,29.86,20581
2017-05-09,29.75,29.94,29.7003,29.929,40502
2017-05-10,29.97,30.11,29.78,30.11,32288
2017-05-11,30.27,30.61,29.9,29.9,20726
2017-05-12,29.93,30.15,29.8542,30.15,14736
2017-05-15,29.978,30.0,29.92,29.94,11304
2017-05-16,29.96,30.215,29.93,30.1301,5189
2017-05-17,30.66,31.54,30.37,31.5,52427
2017-05-18,31.16,31.2211,30.63,30.87,48687
2017-05-19,30.57,30.57,29.96,30.37,15289
2017-05-22,29.79,29.96,29.673,29.81,10175
2017-05-23,29.68,30.0637,29.6736,29.98,9219
2017-05-24,30.04,30.12,29.83,29.87,10446
2017-05-25,29.75,29.92,29.74,29.7852,9240
2017-05-26,30.02,30.02,29.7653,29.82,10331
2017-05-30,29.85,29.85,29.39,29.39,18644
2017-05-31,29.24,29.64,29.24,29.41,24055
2017-06-01,29.23,29.27,29.1571,29.16,8011
2017-06-02,29.19,29.19,29.06,29.1889,3580
2017-06-05,29.14,29.21,28.9998,29.17,5392
2017-06-06,29.33,29.5137,29.21,29.51,3604
2017-06-07,29.33,29.6966,29.3152,29.44,14177
2017-06-08,29.29,29.3,28.9968,29.06,10042
2017-06-09,28.97,29.6075,28.91,29.1224,20539
2017-06-12,29.22,29.51,29.16,29.22,17562
2017-06-13,28.94,29.0179,28.8366,28.96,14670
2017-06-14,28.74,28.84,28.7,28.75,12583
2017-06-15,28.88,29.05,28.73,28.77,23588
2017-06-16,28.73,28.8795,28.44,28.48,158884
2017-06-19,28.1,28.14,27.92,27.92,86762
2017-06-20,28.09,28.3875,28.0608,28.09,16135
2017-06-21,27.87,27.99,27.8001,27.89,27471
2017-06-22,27.95,28.04,27.74,28.04,21519
2017-06-23,28.01,28.01,27.76,27.76,8686
2017-06-26,27.56,27.68,27.3,27.3,7627
2017-06-27,27.27,27.59,27.1101,27.58,21009
2017-06-28,27.23,27.31,27.0853,27.24,21560
2017-06-29,27.47,28.5696,27.41,27.51,17825
2017-06-30,27.31,27.5911,27.28,27.43,8458
2017-07-03,27.06,27.53,26.9301,27.53,15127
2017-07-05,27.54,27.8899,27.54,27.57,11436
2017-07-06,27.92,28.31,27.77,28.24,29216
2017-07-07,28.0002,28.04,27.9,28.0,4885
2017-07-10,28.0,28.05,27.4,27.45,17307
2017-07-11,27.46,27.92,27.26,27.31,18581
2017-07-12,27.04,27.06,26.8,26.8984,15080
2017-07-13,26.85,26.87,26.62,26.75,22492
2017-07-14,26.78,26.78,26.42,26.42,17100
2017-07-17,26.1,26.18,26.01,26.03,43014
2017-07-18,26.27,26.48,26.2,26.24,38166
