date,open,high,low,close,volume
2017-01-03,49.73,49.8615,49.62,49.86,512706
2017-01-04,50.16,50.5299,50.16,50.52,468586
2017-01-05,50.67,51.16,50.67,51.12,1449652
2017-01-06,51.12,51.25,51.015,51.07,2760414
2017-01-09,50.94,51.04,50.9,50.97,334101
2017-01-10,51.11,51.2096,51.05,51.08,353081
2017-01-11,50.87,51.21,50.6826,51.14,547448
2017-01-12,51.04,51.04,50.7675,50.85,6141626
2017-01-13,50.7,50.94,50.7,50.89,284764
2017-01-17,50.85,50.85,50.6506,50.84,253329
2017-01-18,50.78,50.949,50.7,50.84,416798
2017-01-19,50.51,50.5815,50.2928,50.49,262290
2017-01-20,50.42,50.62,50.42,50.59,311393
2017-01-23,50.73,51.04,50.67,51.0,477814
2017-01-24,50.91,51.19,50.91,51.13,444378
2017-01-25,51.02,51.25,50.92,51.21,499880
2017-01-26,51.16,51.19,50.98,51.03,235578
2017-01-27,51.1,51.1,50.92,50.94,362788
2017-01-30,50.8,50.86,50.59,50.84,356612
2017-01-31,51.12,51.27,51.02,51.23,570838
2017-02-01,51.34,51.4399,51.23,51.35,303528
2017-02-02,51.43,51.46,51.2258,51.35,264911
2017-02-03,51.54,51.67,51.422,51.62,331740
2017-02-06,51.46,51.46,51.3001,51.42,310387
2017-02-07,51.48,51.67,51.464,51.6,228057
2017-02-08,51.98,52.11,51.96,52.08,240449
2017-02-09,52.25,52.4,52.1932,52.36,222349
2017-02-10,52.1,52.46,52.1,52.42,320362
2017-02-13,52.3,52.35,52.1845,52.25,229521
2017-02-14,52.22,52.3996,52.0404,52.3,366477
2017-02-15,52.2,52.61,52.1246,52.58,1757769
2017-02-16,52.49,52.57,52.38,52.55,356842
2017-02-17,52.3,52.46,52.28,52.43,345238
2017-02-21,52.42,52.5695,52.3524,52.55,1447484
2017-02-22,52.7,52.79,52.5701,52.78,861251
2017-02-23,52.99,53.07,52.87,52.98,235586
2017-02-24,52.8,52.9,52.72,52.88,258541
2017-02-27,52.74,52.74,52.55,52.62,392496
2017-02-28,52.63,52.73,52.55,52.6,396901
2017-03-01,52.6,52.9199,52.57,52.8,379620
2017-03-02,52.3,52.35,52.09,52.1,321334
2017-03-03,52.05,52.3,52.02,52.25,294611
2017-03-06,52.22,52.23,52.08,52.2,560767
2017-03-07,52.07,52.2,52.0478,52.09,779591
2017-03-08,52.08,52.1399,51.83,51.83,330500
2017-03-09,51.85,51.8799,51.66,51.8,196455
2017-03-10,51.98,52.0461,51.86,52.04,248513
2017-03-13,52.25,52.42,52.2476,52.39,831369
2017-03-14,52.05,52.08,51.94,51.99,206221
2017-03-15,52.13,52.94,52.13,52.91,313061
2017-03-16,53.24,53.32,53.2,53.27,196247
2017-03-17,53.31,53.43,53.23,53.31,174923
2017-03-20,53.28,53.46,53.25,53.35,479080
2017-03-21,53.49,53.59,53.02,53.11,512827
